Count of Borough,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bronx,,,,,,,,,,,,,,,,Bronx Total,Brooklyn,,,,,,,,,,,,,,,,,,,,,Brooklyn Total,Manhattan,,,,,,,,,,,,,,Manhattan Total,Queens,,,,,,,,,,,,,,,,,,Queens Total,Staten Island,,,,Staten Island Total,Grand Total
Apr,,,19,,6,,24,4,7,8,,,20,33,1,60,182,,,,,,2,,,7,5,1,,,9,,,,,,3,,27,,,,1,,,,12,,9,20,15,12,,69,,4,,3,,1,,10,7,,,3,1,9,1,3,5,1,48,25,106,6,,137,463
May,,,1,1,57,1,1,,2,3,,1,3,4,,100,174,,,,1,,8,1,,,,,,,,1,4,,,,,,15,,,,3,,,2,3,,10,1,1,13,,33,,4,,2,2,,,4,5,,,9,1,9,,1,10,,47,7,5,16,,28,297
Jun,,3,1,3,4,,,2,42,61,2,1,,4,2,4,129,,,,,,1,1,,1,1,,1,,1,1,,,,33,1,,41,,4,2,54,10,,,,,10,,,17,5,102,,5,1,1,,,,5,24,,8,132,17,2,4,2,4,,205,6,8,,1,15,492
Jul,,,,,3,38,,3,29,6,3,3,1,6,3,2,97,,1,,,,,,,1,1,3,,,1,,,,1,,10,,18,,4,,12,,,,8,,6,,2,16,,48,,,1,1,1,5,,10,4,,3,3,26,10,10,6,7,,87,6,3,23,,32,282
Aug,,10,21,18,76,19,25,105,2,1,24,1,2,6,19,4,333,,,,,,,1,2,2,2,11,,1,,,3,3,,17,4,,46,,,,39,2,,31,44,1,22,20,94,22,,275,,,,2,,1,,9,5,,,31,4,,,45,22,,119,7,10,94,3,114,887
Sep,,1,,1,23,47,24,18,57,1,12,284,3,85,35,,591,1,1,1,,18,,,,,,50,1,,,,1,,,,,,73,,,,129,112,2,,3,,3,,,8,,257,,5,2,5,,4,,4,8,,,6,3,1,37,18,7,,100,24,8,8,,40,1061
Oct,5,,,13,1,2,3,4,3,,2,,,3,5,1,42,,1,,,,2,,,,,1,3,4,1,,,,,2,1,,15,5,,8,4,2,,3,,,145,20,25,7,,219,,1,,,,,,13,296,,,1,,,,,,,311,26,25,3,12,66,653
Nov,,,,,2,,104,24,10,2,1,,2,21,8,3,177,,56,3,26,,15,,,,,1,,1,,,,,,,1,,103,,,,10,,,,2,,10,1,8,16,4,51,1,3,,14,,2,,7,70,1,,3,1,,2,3,4,,111,3,5,17,,25,467
Dec,,,,,3,,,9,2,,,,,38,2,13,67,,1,,1,8,50,13,4,2,,1,,,4,,,21,,6,1,,112,,,,5,1,,,4,1,7,,6,11,1,36,,13,,,,2,19,19,3,,,7,9,1,,,2,,75,3,3,7,,13,303
2020,,74,80,48,59,6,179,55,13,59,74,37,6,97,8,48,843,,75,24,56,13,14,53,6,2,4,30,,2,47,73,18,34,,28,9,,488,,19,5,36,12,2,25,26,6,19,20,170,83,,423,,63,37,42,22,63,27,103,41,1,7,115,114,32,74,8,90,,839,112,35,48,,195,2788
Jan,,67,63,32,40,1,28,14,2,,,,3,5,1,,256,,3,2,3,3,5,3,2,1,,9,,2,29,3,4,33,,22,,,124,,3,1,32,5,,,10,,1,,6,14,,72,,,,18,1,22,9,6,3,,,4,1,,1,1,7,,73,2,2,15,,19,544
Feb,,4,,7,9,4,16,17,2,10,64,,,24,,,157,,,,1,1,,1,,,1,1,,,,1,1,,,,1,,8,,12,1,,7,,15,7,6,5,1,132,6,,192,,46,12,22,8,7,9,23,8,,1,10,90,,16,,9,,261,22,11,7,,40,658
Mar,,3,,1,8,,,,,7,,28,,,,,47,,,1,,1,,23,3,1,2,20,,,1,56,5,1,,1,4,,119,,,3,,,1,8,1,,2,17,20,27,,79,,3,20,,12,,8,3,5,,,3,14,,50,2,21,,141,,1,4,,5,391
Apr,,,,,1,1,26,,2,,,7,1,56,6,3,103,,,,,,,,,,,,,,1,,1,,,,1,,3,,,,,,1,,1,,1,,3,7,,13,,1,,,,1,,,1,,,6,,1,,,8,,18,10,,,,10,147
May,,,17,,1,,68,,5,,,,,3,,3,97,,,,,,1,,,,,,,,,1,,,,1,,,3,,,,3,,,,1,,1,1,,2,,8,,1,3,,,2,,20,8,,1,8,,,,,,,43,,1,2,,3,154
Jun,,,,,,,3,1,,,1,,,8,,14,27,,9,18,16,8,1,,,,,,,,,,,,,,,,52,,,,,,,,3,,2,,,4,,9,,1,,,,,1,4,1,,,8,,2,,,8,,25,,,3,,3,116
Jul,,,,,,,26,2,1,,,1,,,,1,31,,1,,31,,,,,,,,,,,,,,,3,1,,36,,,,,,,,,,3,,,5,,8,,,2,,1,1,,10,2,,,7,,,,,4,,27,,,,,,102
Aug,,,,1,,,11,,1,,4,1,1,,1,,20,,,,,,,,,,,,,,7,,3,,,1,,,11,,,,,,,,1,,,1,3,5,,10,,10,,,,1,,21,3,1,1,48,5,18,1,2,4,,115,2,6,6,,14,170
Sep,,,,,,,,,,41,,,,,,,41,,3,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,1,,3,1,,6,,,,,,23,,9,3,,1,8,3,6,,1,17,,71,,,,,,121
Oct,,,,,,,,,,1,1,,1,,,,3,,26,,,,7,1,,,1,,,,,12,,,,,1,,48,,,,,,,2,1,,1,,2,3,,9,,1,,2,,5,,4,6,,,6,,5,6,,2,,37,3,1,2,,6,103
Nov,,,,7,,,,21,,,4,,,,,26,58,,3,,5,,,21,,,,,,,8,,4,,,,1,,42,,1,,,,,,1,,1,,1,4,,8,,,,,,1,,2,1,,,3,1,,,1,4,,13,71,13,9,,93,214
Dec,,,,,,,1,,,,,,,1,,1,3,,30,3,,,,4,1,,,,,,1,,,,,,,,39,,3,,,,,,,,1,,,5,,9,,,,,,,,1,,,3,4,,,,1,6,,15,2,,,,2,68
Grand Total,5,173,185,1333,440,135,420,371,298,197,193,634,192,464,507,1752,7299,37,150,46,108,46,157,80,25,48,26,169,30,18,143,96,126,78,18,164,130,6,1701,13,36,39,350,158,10,75,202,139,413,138,452,551,16,2592,1,189,61,202,108,143,78,430,608,11,36,619,263,185,183,295,265,1,3678,1006,1089,701,162,2958,18228
